timestamp,min,max,avg,mode,number_of_packets
1711117500.0,-52.0,-46.0,-47.95360824742268,-48.0,582.0
1711117560.0,-53.0,-46.0,-48.53235294117647,-48.0,680.0
1711117620.0,-54.0,-46.0,-49.429421768707485,-48.0,1176.0
1711117680.0,-56.0,-46.0,-49.18991596638656,-48.0,1190.0
1711117740.0,-53.0,-45.0,-49.40034364261168,-48.0,1164.0
1711117800.0,-49.0,-46.0,-47.965870307167236,-48.0,586.0
1711117860.0,-52.0,-46.0,-47.9965811965812,-48.0,585.0
1711117920.0,-52.0,-46.0,-47.96817420435511,-48.0,597.0
1711117980.0,-53.0,-46.0,-47.97811447811448,-48.0,594.0
1711118040.0,-54.0,-46.0,-47.96081771720613,-48.0,587.0
1711118100.0,-52.0,-46.0,-47.863481228668945,-48.0,586.0
1711118160.0,-52.0,-45.0,-47.830601092896174,-48.0,366.0
1711118220.0,-52.0,-45.0,-47.87784679089027,-48.0,483.0
1711118280.0,-50.0,-46.0,-48.00675675675676,-48.0,592.0
1711118340.0,-71.0,-43.0,-52.42388059701493,-48.0,670.0
1711118400.0,-69.0,-45.0,-52.641975308641975,-48.0,1134.0
1711118460.0,-60.0,-46.0,-52.303313508920986,-48.0,1177.0
1711118520.0,-60.0,-46.0,-52.31725888324873,-48.0,1182.0
1711118580.0,-63.0,-45.0,-52.61263507896924,-48.0,1203.0
1711118640.0,-64.0,-41.0,-49.130508474576274,-48.0,1180.0
1711118700.0,-61.0,-37.0,-47.33077660594439,-48.0,1043.0
1711118760.0,-70.0,-43.0,-52.24271844660194,-48.0,1133.0
1711118820.0,-61.0,-46.0,-50.666666666666664,-48.0,888.0
1711118880.0,-52.0,-45.0,-47.88609715242881,-48.0,597.0
1711118940.0,-52.0,-45.0,-47.94207836456559,-48.0,587.0
1711119000.0,-64.0,-32.0,-47.961313012895666,-48.0,853.0
1711119060.0,-59.0,-35.0,-46.023668639053255,-48.0,1183.0
1711119120.0,-55.0,-27.0,-43.6832350463353,-48.0,1187.0
1711119180.0,-49.0,-37.0,-43.68855218855219,-40.0,1188.0
1711119240.0,-53.0,-37.0,-43.732231404958675,-40.0,1210.0
1711119300.0,-51.0,-28.0,-43.399495374264085,-40.0,1189.0
1711119360.0,-53.0,-28.0,-41.469208211143695,-48.0,1023.0
1711119420.0,-50.0,-29.0,-39.76275510204081,-32.0,1176.0
1711119480.0,-52.0,-29.0,-39.655696202531644,-32.0,1185.0
1711119540.0,-52.0,-29.0,-39.71900826446281,-32.0,1210.0
1711119600.0,-53.0,-29.0,-39.773648648648646,-32.0,1184.0
1711119660.0,-53.0,-29.0,-39.745516652433814,-32.0,1171.0
1711119720.0,-53.0,-29.0,-39.82163989856298,-32.0,1183.0
1711119780.0,-50.0,-29.0,-39.770657672849914,-32.0,1186.0
1711119840.0,-50.0,-29.0,-39.69839932603201,-32.0,1187.0
1711119900.0,-49.0,-29.0,-39.73670886075949,-32.0,1185.0
1711119960.0,-51.0,-29.0,-39.7103274559194,-32.0,1191.0
1711120020.0,-50.0,-29.0,-39.798831385642735,-32.0,1198.0
1711120080.0,-53.0,-29.0,-39.76590330788804,-32.0,1179.0
1711120140.0,-52.0,-29.0,-39.78565400843882,-32.0,1185.0
1711120200.0,-52.0,-29.0,-39.72396274343777,-32.0,1181.0
1711120260.0,-50.0,-29.0,-39.844013490725125,-32.0,1186.0
1711120320.0,-51.0,-30.0,-39.79797125950972,-32.0,1183.0
