timestamp,min,max,avg,mode,number_of_packets
1711117500.0,-36.0,-28.0,-31.068143100511072,-31.0,587.0
1711117560.0,-64.0,-28.0,-33.97815912636506,-31.0,641.0
1711117620.0,-66.0,-28.0,-46.76420695504665,-31.0,1179.0
1711117680.0,-65.0,-28.0,-46.44322033898305,-31.0,1180.0
1711117740.0,-65.0,-28.0,-46.13764510779436,-31.0,1206.0
1711117800.0,-62.0,-28.0,-32.0,-31.0,605.0
1711117860.0,-32.0,-28.0,-31.20603015075377,-31.0,597.0
1711117920.0,-34.0,-28.0,-31.120954003407157,-31.0,587.0
1711117980.0,-35.0,-28.0,-31.073253833049403,-31.0,587.0
1711118040.0,-32.0,-28.0,-31.165247018739354,-31.0,587.0
1711118100.0,-35.0,-28.0,-31.136286201022145,-31.0,587.0
1711118160.0,-36.0,-28.0,-31.155717761557177,-31.0,411.0
1711118220.0,-32.0,-28.0,-31.03187250996016,-31.0,502.0
1711118280.0,-33.0,-28.0,-31.127551020408163,-31.0,588.0
1711118340.0,-70.0,-27.0,-40.90650406504065,-31.0,738.0
1711118400.0,-64.0,-28.0,-40.07671480144404,-31.0,1108.0
1711118460.0,-52.0,-29.0,-39.293176074136476,-47.0,1187.0
1711118520.0,-50.0,-28.0,-39.12162162162162,-47.0,1184.0
1711118580.0,-55.0,-28.0,-39.45369583687341,-47.0,1177.0
1711118640.0,-62.0,-28.0,-40.70391993327773,-31.0,1199.0
1711118700.0,-60.0,-28.0,-39.490434782608695,-31.0,1150.0
1711118760.0,-70.0,-28.0,-44.484482758620686,-31.0,1160.0
1711118820.0,-66.0,-28.0,-42.58158995815899,-31.0,956.0
1711118880.0,-35.0,-28.0,-31.12436115843271,-31.0,587.0
1711118940.0,-36.0,-28.0,-31.19931856899489,-31.0,587.0
1711119000.0,-61.0,-28.0,-35.174447174447174,-31.0,814.0
1711119060.0,-54.0,-28.0,-36.786015164279696,-31.0,1187.0
1711119120.0,-54.0,-9.0,-26.967959527824622,-31.0,1186.0
1711119180.0,-34.0,-9.0,-21.5915611814346,-12.0,1185.0
1711119240.0,-33.0,-9.0,-21.607413647851725,-12.0,1187.0
1711119300.0,-32.0,-10.0,-21.838247683235046,-12.0,1187.0
1711119360.0,-56.0,-25.0,-38.672147001934235,-31.0,1034.0
1711119420.0,-56.0,-28.0,-42.40200166805671,-31.0,1199.0
1711119480.0,-56.0,-28.0,-42.3429054054054,-31.0,1184.0
1711119540.0,-56.0,-28.0,-42.267629566694985,-31.0,1177.0
1711119600.0,-56.0,-28.0,-42.28977272727273,-53.0,1232.0
1711119660.0,-56.0,-28.0,-42.16030534351145,-31.0,1179.0
